Record,Sample Date,Sample Year,Sample Time (local),Sample Location,Sample Lat/Long - Latitude,Sample Lat/Long - Longitude,Water Temperature (approximate),Sampling Platform,Continent,Country,Sample waters,"Sample location (Urban, Rural, Remote)",Notes,"Depth of Water Body (approximate, FW only)",Exposed rocks present in sampling area? (FW only),Substrate Type (FW only),Lab Fields,Sample Volume (L),Number of Filters,Sediment Load,Blue–Round,Blue–Round < 1.5 mm new,Blue–Round 1.6-3.1 mm,Blue–Round 3.2-5 mm,Blue–Round 5.1-9.6 mm,Blue–Filament,Blue–Filament  < 1.5 mm new,Blue–Filament 1.6-3.1 mm ,Blue–Filament 3.2-5 mm,Blue–Filament 5.1-9.6 mm,Blue–Other Shape,Blue–Other Shape  < 1.5 mm new,Blue–Other Shape  1.6-3.1 mm,Blue–Other Shape 3.2-5 mm,Blue–Other Shape 5.1-9.6 mm,Red–Round,Red–Round  < 1.5 mm new,Red–Round  1.6-3.1 mm ,Red–Round 3.2-5 mm,Red–Round 5.1-9.6 mm,Red–Filament,Red–Filament  < 1.5 mm new,Red–Filament 1.6-3.1 mm ,Red–Filament 3.2-5 mm,Red–Filament 5.1-9.6 mm,Red–Other Shape,Red–Other Shape  < 1.5 mm new,Red–Other Shape 1.6-3.1 mm ,Red–Other Shape 3.2-5 mm,Red–Other Shape 5.1-9.6 mm,Transparent–Round,Transparent–Round  < 1.5 mm new,Transparent–Round 1.6-3.1 mm,Transparent–Round 3.2-5 mm,Transparent–Round 5.1-9.6 mm,Transparent–Filament,Transparent–Filament  < 1.5 mm new,Transparent–Filament  1.6-3.1 mm,Transparent–Filament 3.2-5 mm,Transparent–Filament 5.1-9.6 mm,Transparent–Other Shape,Transparent–Other Shape  < 1.5 mm new,Transparent–Other Shape  1.6-3.1 mm,Transparent–Other Shape 3.2-5 mm,Transparent–Other Shape 5.1-9.6 mm,Black–Round,Black–Round  < 1.5 mm new,Black–Round  1.6-3.1 mm,Black–Round 3.2-5 mm,Black–Round 5.1-9.6 mm,Black–Filament,Black–Filament  < 1.5 mm new,Black–Filament 1.6-3.1 mm,Black–Filament 3.2-5 mm,Black–Filament 5.1-9.6 mm,Black–Other Shape,Black–Other Shape  < 1.5 mm new,Black–Other Shape 1.6-3.1 mm,Black–Other Shape 3.2-5 mm,Black–Other Shape 5.1-9.6 mm,Green–Round  ,Green–Filament,Green–Other Shape,Other Color–Round,Other Color–Round  < 1.5 mm new,Other Color–Round 1.6-3.1 mm ,Other Color–Round 3.2-5 mm,Other Color–Round 5.1-9.6 mm,Other Color–Filament,Other Color–Filament  < 1.5 mm new,Other Color–Filament 1.6-3.1 mm,Other Color–Filament 3.2-5 mm,Other Color–Filament 5.1-9.6 mm,Other Color–Other Shape,Other Color–Other Shape  < 1.5 mm new,Other Color–Other Shape  1.6-3.1 mm,Other Color–Other Shape 3.2-5 mm,Other Color–Other Shape 5.1-9.6 mm,Total Blue,Total Blue <1.5mm,Total Blue 1.6-3.1 mm,Total Blue 3.2-5 mm,Total Blue 5.1-9.6,Total Red,Total Red <1.5 mm,Total Red 1.6-3.1 mm,Total Red 3.2-5 mm,Total Red 5.1-9.6 mm,Total Transparent,Total Transparent <1.5 mm,Total Transparent 1.6-3.1 mm,Total Transparent 3.2-5 mm,Total Transparent 5.1-9.6 mm,Total Black,Total Black <1.5 mm,Total Black  1.6-3.1 mm ,Total Black 3.2-5 mm,Total Black 5.1-9.6 mm,Total Other Color ,Total Other Color <1.5 mm,Total Other Color  1.6-3.1 mm ,Total Other Color  3.2-5 mm,Total Other Color  5.1-9.6 mm,Total Round,Total Filament,Total Other Shape,Total Pieces,Total Pieces/L,Sample Jar Material,Plastic Type,Lab Notes,,,0
1526,9/20/2015,2015,13:50,"Montana, Tobacco Root Mountains, Granite Lake",45.559517,-112.030295,,Shore,North America,USA,Lake,,,0.0762,Yes,Gravel (small beetle to tennis ball size),,1.2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic ,2,,,,
1528,9/20/2015,2015,17:05,"Montana, Helena, Spring Meadow Lake State Park",46.612778,-112.075556,,Shore,North America,USA,Lake,,,0.1016,No,Sand (gritty between fingers),,1.25,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.6,Plastic ,2,,,,
1531,8/21/2015,2015,10:31,,38.92245598,-120.1419291,12.77777778,Wading,North America,USA,Pond,,,,No,Mud/Silt/Clay (not gritty between fingers),,1.3,2,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3.703703704,Plastic,1,Filter 1 had 0 microplastic pieces,,,
1533,8/21/2015,2015,17:20,Gilmore Lake ,38.89298277,-120.1163044,15.55555556,Wading,North America,USA,Lake,,,,No,Cobbles (tennis ball to basketball size),,1.3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic,1,,,,
1534,8/22/2015,2015,10:39,Lille Lake ,38.94958898,-120.0009354,18.33333333,Wading,North America,USA,Lake,,,,No,Mud/Silt/Clay (not gritty between fingers),,1.3,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.481481481,Plastic,1,,,,
1535,8/22/2015,2015,11:55,West Lake Tahoe,39.07733129,-120.1529691,15.55555556,Wading,North America,USA,Lake,,,,No,Cobbles (tennis ball to basketball size),,1.3,1,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3.703703704,Plastic,1,,,,
1539,8/12/2015,2015,9:04,17 miles after Fort Peck Dam,48.02776,-106.20935,25,Canoe,North America,USA,River,,gps +/-12,3,No,Sand (gritty between fingers),,1.25,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,6,3,0,0,0,0,0,0,0,0,0,10,0,10,7.692307692,Plastic ,1,,,,
1540,8/16/2015,2015,9:38,,48.12674,-104.7988,18,Canoe,North America,USA,River,,"Farm houses one mile away, can hear train",3,No,Sand (gritty between fingers),,1.15,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,10,0,10,8.333333333,Plastic ,1,Black fiber broke (didn't count),,,
1541,8/28/2015,2015,17:37,,47.94755,-102.62757,22,Canoe,North America,USA,River,,Oil fields in view. Houses in view. Water is scummy.,3,No,Sand (gritty between fingers),,1.25,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,1.538461538,Plastic ,1,,,,
1542,8/31/2015,2015,18:46,near dam and marina ,47.54243,-101.46491,20,Canoe,North America,USA,River,,Oil fields in view. Houses in view. Water is scummy.,5,No,Sand (gritty between fingers),,1.25,1,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.6,Plastic ,1,Examined for FTIR Analysis on 11Jun2017; removed one <1.5mm transparent filament.,,,
1543,9/1/2015,2015,12:51,downstream of dam ,47.46785,-101.44205,14,Canoe,North America,USA,River,,Al foil ripped?,3,No,Sand (gritty between fingers),,1.25,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.538461538,Plastic ,1,,,,
1544,9/6/2015,2015,9:06,,46.66724,-100.6904,17,Canoe,North America,USA,River,,This is the 250 mile marker sample taken later because we didn't have a bottle. Passed Bismarck just downstream of campgrounds on labor day weekend,3,No,Sand (gritty between fingers),,1.25,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic ,1,,,,
1545,9/9/2015,2015,13:57,,45.64696,-100.39223,21,Canoe,North America,USA,River,,on the reservior,5,No,Unknown,,1.15,1,Medium,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,6,0,6,5,Plastic ,1,Other color fiber: gray,,,
1547,9/14/2015,2015,15:28,Above dam sample ,44.45263,-100.43806,21,Canoe,North America,USA,River,,"dam, road, houses, and ag building visible ",5,No,Unknown,,1.25,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.538461538,Plastic ,1,,,,
1548,9/15/2015,2015,9:30,Below dam sample ,44.4397,-100.38671,18,Canoe,North America,USA,River,,"marina, dam, road, some traffic visible ",8,No,Unknown,,1.25,1,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,1.538461538,Plastic ,1,,,,
1549,9/19/2015,2015,14:40,,44.303062,-100.08251,18,Canoe,North America,USA,River,,highway on opposite shore. Some plastic trash on shore. Some houses,3,No,Unknown,,1.25,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.538461538,Plastic,1,,,,
1550,9/21/2015,2015,16:14,above damn sample ,44.04134,-99.45195,21,Canoe,North America,USA,River,,"dam, road, buildings visible ",5,No,Unknown,,1.25,1,Medium,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3.2,Plastic,1,phytoplankton present. Examined for FTIR Analysis on 11Jun2017; removed one <1.5mm blue filament.,,,
1551,9/21/2015,2015,18:10,below damn sample ,44.037,-99.43733,19,Canoe,North America,USA,River,,"dam, boat ramp, releasing water",5,No,Unknown,,1.25,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,1.538461538,Plastic ,1,,,,
1552,9/25/2015,2015,15:06,Lake Francis- 150 mile sample,43.19285,-98.87436,22,Canoe,North America,USA,Lake,,boat traffic,5,No,Unknown,,1.15,1,Medium,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3.333333333,Plastic,1,,,,
1553,9/26/2015,2015,13:40,above dam,43.05561,-98.58469,22,Canoe,North America,USA,River,,"dam and dam staff, boat ramp, houses, campground",5,No,Unknown;Unknown,,1.15,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic,1,,,,
1554,9/26/2015,2015,17:00,below dam,43.05544,-98.54816,21,Canoe,North America,USA,River,,"boat ramp, houses, campground, boat traffic",5,No,Unknown,,1.15,1,Medium,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0,6,5,Plastic,1,Other color fiber: blue/clear,,,
1555,9/28/2015,2015,17:45,above dam,42.87121,-97.49657,20,Wading,North America,USA,River,,"boat ramp, near marina, parking lot, road, dam, houses",0.5,No,Sand (gritty between fingers),,1.15,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic,1,,,,
1556,9/29/2015,2015,9:58,below dam,42.8484,-97.46368,19,Canoe,North America,USA,River,,"boat ramp, road, dam, campground present. Spillway is open! ",5,No,Unknown;Unknown,,1.25,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic,1,,,,
1557,10/1/2015,2015,12:05,,42.49441,-96.5158,17,Canoe,North America,USA,River,,river is channelized with sparse houses and farms ,3,No,Unknown,,1.05,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic,1,,,,
1558,9/19/2015,2015,18:19,"Tobacco Root Mountains, South Boulder Creek, bridge at McGovern GTH",45.683525,-112.015938,,Shore,North America,USA,Stream,,,0.0508,Yes,Cobbles (tennis ball to basketball size),,0.95,1,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic ,2,,,,
1559,9/15/2015,2015,17:25,,38.505777,-109.65884,,Rowboat,North America,USA,River,,,0.4572,No,Unknown,,1.4,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,4,0,4,2.857142857,Plastic,7,Other color fiber: black/clear. Examined for FTIR Analysis on 11Jun2017; removed one <1.5mm black/clear filament.,,,
1560,9/26/2015,2015,13:45,,58.358697,-134.575147,7.3,Wading,North America,USA,Stream,,lots of peat and organic soils ,0.7,No,Mud/Silt/Clay (not gritty between fingers),,1.5,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.290322581,Plastic ,1,,,,
1561,9/26/2015,2015,13:30,,58.357072,-134.500625,6.3,Wading,North America,USA,Stream,,glacially fed,0.6,Yes,Mud/Silt/Clay (not gritty between fingers),,1.55,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,2,1.25,Plastic ,1,,,,
1562,9/23/2015,2015,15:05,,58.494983,-134.778094,8.7,Wading,North America,USA,Stream,,,0.5,No,Mud/Silt/Clay (not gritty between fingers),,2.9,4,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic ,1,,,,
1563,9/26/2015,2015,15:05,,58.330808,-134.594403,8.7,Wading,North America,USA,Stream,,,0.5,Yes,Cobbles (tennis ball to basketball size),,1.6,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic ,2,,,,
1564,8/28/2015,2015,14:14,above quad cities,41.33607,-90.25288,23.1,Kayak,North America,USA,River,,,2.7432,Yes,Sand (gritty between fingers),,0.95,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic ,1,Filter still wet,,,
1565,9/26/2015,2015,14:30,Hudson River,43.1752219,-73.556968,23.88888889,Shore,North America,USA,River,,,0.3048,Yes,Cobbles (tennis ball to basketball size),,1.4,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic ,1,,,,
1567,1/5/2016,2016,8:45,"Catfish Creek, near confluence of Mississippi River",42.46788333,-90.64466667,0.9,Wading,North America,USA,Stream,,,1,No,,,1,1,Heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plastic,2,Zero plastic,,,
1568,8/26/2015,2015,,"Wind River Range, Popo Agie Wilderness",42.625591,-108.987697,,,North America,USA,River,,,,,,,0.95,1,Medium,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,Plastic ,1,,,,
1569,8/28/2015,2015,,"Wind River Range, Popo Agie Wilderness",42.620215,-108.982741,,,North America,USA,River,,,,,,,0.95,1,Low,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,Plastic ,1,,,,
1570,12/17/2015,2015,,,42.768453,-109.016738,,Wading,North America,USA,Lake,,,0.4572,No,;Mud/Silt/Clay (not gritty between fingers),,1.3,1,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0.7407407407,Plastic ,7,,,,
1580,10/11/2015,2015,13:38,,39.22778,-106.0415,8,Wading,North America,USA,Pond,,,0.2032,No,;Sand (gritty between fingers),,1,1,Medium,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.904761905,Plastic ,1,,,,
